Date,Open,High,Low,Close,Adj Close,Volume
2017-05-04,628.099976,635.109985,628.099976,635.109985,635.109985,509200
2017-05-08,638.359985,643.390015,638.090027,643.390015,643.390015,550900
2017-05-10,645.700012,645.700012,641.539978,642.679993,642.679993,768700
2017-05-11,644.440002,647.580017,643.349976,647.580017,647.580017,731400
2017-05-12,648.559998,648.559998,642.960022,643.729980,643.729980,762400
2017-05-15,644.590027,646.309998,642.789978,645.380005,645.380005,699800
2017-05-16,646.500000,646.500000,638.429993,639.109985,639.109985,723800
2017-05-17,640.869995,641.479980,638.929993,640.010010,640.010010,624400
2017-05-18,633.400024,638.159973,633.140015,638.119995,638.119995,785400
2017-05-19,640.330017,643.059998,639.169983,642.450012,642.450012,726600
2017-05-22,645.039978,645.159973,641.599976,642.619995,642.619995,753200
2017-05-23,644.590027,645.440002,644.000000,644.729980,644.729980,800700
2017-05-24,646.440002,648.049988,645.030029,646.039978,646.039978,844300
2017-05-25,648.250000,648.289978,642.869995,643.020020,643.020020,766900
2017-05-26,644.969971,646.450012,644.299988,646.010010,646.010010,656900
2017-05-29,648.150024,648.219971,642.750000,642.979980,642.979980,626600
2017-05-30,645.090027,649.090027,644.340027,649.059998,649.059998,599200
2017-05-31,650.510010,652.520020,649.510010,652.039978,652.039978,664000
2017-06-01,653.570007,654.229980,651.099976,653.830017,653.830017,670500
2017-06-02,656.429993,658.820007,655.820007,658.780029,658.780029,638000
2017-06-05,660.770020,662.369995,659.760010,662.320007,662.320007,583300
2017-06-07,664.070007,666.580017,661.099976,666.460022,666.460022,790900
2017-06-08,668.250000,670.049988,667.000000,669.969971,669.969971,672800
2017-06-09,672.140015,674.150024,671.200012,674.150024,674.150024,623300
2017-06-12,672.090027,672.119995,664.119995,664.859985,664.859985,579500
2017-06-13,666.070007,669.260010,666.070007,669.229980,669.229980,626900
2017-06-14,673.020020,674.359985,670.260010,671.590027,671.590027,645500
2017-06-15,672.969971,673.099976,664.989990,669.820007,669.820007,672700
2017-06-16,670.770020,670.820007,667.729980,670.700012,670.700012,608300
2017-06-19,672.719971,675.710022,672.250000,675.440002,675.440002,580100
2017-06-20,678.719971,678.820007,669.409973,669.409973,669.409973,734000
2017-06-21,668.409973,668.440002,662.679993,665.770020,665.770020,616000
2017-06-22,667.989990,668.359985,663.260010,663.280029,663.280029,700700
2017-06-23,665.190002,669.049988,665.020020,668.929993,668.929993,560300
2017-06-26,670.590027,670.780029,667.710022,668.359985,668.359985,586200
2017-06-27,671.700012,673.130005,670.869995,672.630005,672.630005,639700
2017-06-28,671.260010,672.359985,665.890015,665.890015,665.890015,601800
2017-06-29,670.099976,670.559998,666.000000,668.000000,668.000000,515400
2017-06-30,665.669983,669.119995,665.570007,669.039978,669.039978,511600
2017-07-03,671.169983,671.169983,660.039978,660.969971,660.969971,560800
2017-07-04,662.169983,663.849976,654.059998,656.190002,656.190002,735100
2017-07-05,657.700012,661.580017,657.690002,661.539978,661.539978,565100
2017-07-06,663.789978,665.049988,662.669983,663.789978,663.789978,555500
2017-07-07,662.659973,664.289978,660.989990,663.770020,663.770020,551500
2017-07-10,666.190002,666.190002,657.669983,657.859985,657.859985,512900
2017-07-11,659.270020,659.909973,654.500000,656.010010,656.010010,542000
2017-07-12,657.059998,657.900024,651.090027,651.099976,651.099976,586100
2017-07-13,654.010010,655.159973,651.599976,652.690002,652.690002,490900
2017-07-14,654.239990,655.450012,651.270020,654.109985,654.109985,533500
2017-07-17,656.969971,659.890015,656.969971,659.890015,659.890015,415400
2017-07-18,661.159973,664.039978,661.159973,664.020020,664.020020,570300
2017-07-19,666.299988,671.530029,666.299988,671.530029,671.530029,500900
2017-07-20,674.059998,677.590027,672.369995,676.510010,676.510010,569900
2017-07-21,677.840027,678.150024,674.599976,676.599976,676.599976,523700
2017-07-24,678.590027,679.460022,676.630005,677.320007,677.320007,529200
2017-07-25,678.700012,679.479980,670.099976,670.469971,670.469971,677800
2017-07-26,672.429993,672.630005,664.130005,667.219971,667.219971,593900
2017-07-27,669.219971,670.599976,664.530029,666.479980,666.479980,527900
2017-07-28,665.080017,665.080017,651.840027,652.950012,652.950012,559700
2017-07-31,648.840027,651.830017,643.770020,650.469971,650.469971,504700
2017-08-01,650.890015,655.070007,649.700012,653.119995,653.119995,487800
2017-08-02,654.849976,658.280029,654.830017,657.520020,657.520020,494700
2017-08-03,658.700012,658.940002,641.630005,643.090027,643.090027,528200
2017-08-04,644.799988,648.340027,638.869995,641.580017,641.580017,459100
2017-08-07,643.359985,650.010010,642.820007,648.390015,648.390015,455700
2017-08-08,650.780029,651.909973,645.729980,651.669983,651.669983,607600
2017-08-09,649.390015,650.090027,642.869995,642.869995,642.869995,849000
2017-08-10,642.799988,646.559998,635.059998,640.039978,640.039978,770400
2017-08-11,629.809998,635.289978,626.080017,628.340027,628.340027,606400
2017-08-14,632.520020,633.989990,629.260010,629.369995,629.369995,548300
2017-08-16,634.440002,635.969971,634.099976,634.909973,634.909973,607400
2017-08-17,638.119995,642.280029,635.739990,642.109985,642.109985,531900
2017-08-18,636.940002,643.859985,636.440002,643.580017,643.580017,528500
2017-08-21,645.349976,645.349976,640.840027,640.849976,640.849976,585900
2017-08-22,643.260010,644.380005,642.640015,644.260010,644.260010,649800
2017-08-23,647.789978,647.789978,643.650024,643.710022,643.710022,559500
2017-08-24,645.099976,647.989990,644.979980,647.710022,647.710022,500100
2017-08-25,649.219971,650.760010,648.440002,650.270020,650.270020,585000
2017-08-28,652.369995,652.940002,649.539978,652.919983,652.919983,513800
2017-08-29,650.280029,654.020020,647.130005,653.960022,653.960022,572900
2017-08-30,656.900024,657.429993,654.489990,655.000000,655.000000,639500
2017-08-31,657.130005,658.030029,655.640015,657.830017,657.830017,616000
2017-09-01,660.710022,662.390015,658.650024,661.989990,661.989990,566100
2017-09-04,null,null,null,null,null,null
2017-09-05,655.400024,656.219971,645.969971,648.750000,648.750000,621100
2017-09-06,649.229980,653.440002,649.229980,652.590027,652.590027,568500
2017-09-07,655.440002,659.119995,655.359985,658.479980,658.479980,499900
2017-09-08,659.830017,660.630005,653.340027,654.289978,654.289978,646300
2017-09-11,657.679993,659.469971,654.919983,656.530029,656.530029,578300
2017-09-12,660.030029,660.559998,658.049988,660.049988,660.049988,652300
2017-09-13,662.940002,662.940002,658.539978,659.090027,659.090027,672500
2017-09-14,660.150024,665.469971,659.250000,665.409973,665.409973,627100
2017-09-15,662.900024,671.309998,662.900024,671.299988,671.299988,645600
2017-09-18,674.659973,677.140015,672.580017,675.869995,675.869995,585800
2017-09-19,677.570007,677.969971,670.070007,674.479980,674.479980,659300
2017-09-20,676.599976,677.289978,668.049988,668.049988,668.049988,688100
2017-09-21,671.320007,672.599976,658.640015,661.109985,661.109985,699800
2017-09-25,649.109985,653.049988,638.919983,642.039978,642.039978,900600
2017-09-26,638.580017,645.729980,637.359985,642.400024,642.400024,820400
2017-09-27,645.020020,650.710022,644.559998,649.239990,649.239990,646000
2017-09-28,651.919983,653.380005,648.090027,648.090027,648.090027,583400
2017-09-29,650.320007,653.580017,648.679993,652.820007,652.820007,692300
