Date,Open,High,Low,Close,Adj Close,Volume
2018-04-09,3125.441895,3146.093018,3110.302979,3138.293945,3138.293945,139600
2018-04-10,3144.257080,3190.648926,3139.081055,3190.322021,3190.322021,168200
2018-04-11,3197.372070,3220.844971,3191.586914,3208.082031,3208.082031,175900
2018-04-12,3203.278076,3205.251953,3177.049072,3180.157959,3180.157959,148200
2018-04-13,3192.041992,3197.895996,3155.506104,3159.052002,3159.052002,127600
2018-04-16,3152.887939,3153.105957,3096.100098,3110.648926,3110.648926,154400
2018-04-17,3112.975098,3118.760010,3064.028076,3066.797119,3066.797119,147200
2018-04-18,3091.909912,3096.888916,3041.625000,3091.398926,3091.398926,159300
2018-04-19,3094.273926,3127.438965,3090.287109,3117.375977,3117.375977,160100
2018-04-20,3105.461914,3111.170898,3065.920898,3071.542969,3071.542969,155100
2018-04-23,3063.443115,3085.056885,3045.937012,3068.011963,3068.011963,131700
2018-04-24,3069.746094,3136.040039,3069.746094,3128.927002,3128.927002,162300
2018-04-25,3112.397949,3122.907959,3107.000977,3117.974121,3117.974121,127300
2018-04-26,3119.496094,3121.933105,3067.928955,3075.030029,3075.030029,134000
2018-04-27,3082.415039,3088.034912,3049.914063,3082.231934,3082.231934,131200
2018-05-02,3087.408936,3097.604004,3064.762939,3081.177002,3081.177002,134200
2018-05-03,3074.517090,3105.659912,3056.156982,3100.858887,3100.858887,140000
2018-05-04,3093.116943,3104.093018,3086.784912,3091.032959,3091.032959,115100
2018-05-07,3094.898926,3131.182373,3091.657959,3129.720703,3129.720703,391957108
