Date,Open,High,Low,Close,Adj Close,Volume,,Date,Open,High,Low,Close,Adj Close,Volume,,,NAS,KOS
6/2/2017,656.429993,658.820007,655.820007,658.780029,658.780029,638000,,6/2/2017,6261.589844,6308.759766,6253.77002,6305.799805,6305.799805,1820000000,,,,
6/5/2017,660.77002,662.369995,659.76001,662.320007,662.320007,583300,,6/5/2017,6305.470215,6310.620117,6292.149902,6295.680176,6295.680176,1739820000,,,,
6/7/2017,664.070007,666.580017,661.099976,666.460022,666.460022,790900,,6/7/2017,6290.439941,6302.779785,6267.180176,6297.379883,6297.379883,1822270000,,,,
6/8/2017,668.25,670.049988,667,669.969971,669.969971,672800,,6/8/2017,6311.72998,6324.060059,6282.930176,6321.759766,6321.759766,2128780000,,,,
6/9/2017,672.140015,674.150024,671.200012,674.150024,674.150024,623300,,6/9/2017,6330.25,6341.700195,6137.680176,6207.919922,6207.919922,3152050000,,,,
6/12/2017,672.090027,672.119995,664.119995,664.859985,664.859985,579500,,6/12/2017,6153.560059,6183.810059,6110.669922,6175.459961,6175.459961,2586540000,,,,
6/13/2017,666.070007,669.26001,666.070007,669.22998,669.22998,626900,,6/13/2017,6206.120117,6226.410156,6180.040039,6220.370117,6220.370117,2062110000,,,,
6/14/2017,673.02002,674.359985,670.26001,671.590027,671.590027,645500,,6/14/2017,6237.459961,6237.529785,6153.549805,6194.890137,6194.890137,1940440000,,,,
6/15/2017,672.969971,673.099976,664.98999,669.820007,669.820007,672700,,6/15/2017,6127.049805,6170.149902,6107.850098,6165.5,6165.5,1858130000,,,,
6/16/2017,670.77002,670.820007,667.72998,670.700012,670.700012,608300,,6/16/2017,6154.279785,6161.560059,6125.5,6151.759766,6151.759766,3120640000,,,,
6/19/2017,672.719971,675.710022,672.25,675.440002,675.440002,580100,,6/19/2017,6196.850098,6243.310059,6194,6239.009766,6239.009766,1976970000,,,,
6/20/2017,678.719971,678.820007,669.409973,669.409973,669.409973,734000,,6/20/2017,6229.620117,6234.009766,6186.939941,6188.029785,6188.029785,2570130000,,,,
6/21/2017,668.409973,668.440002,662.679993,665.77002,665.77002,616000,,6/21/2017,6202.75,6236.660156,6200.859863,6233.950195,6233.950195,2401440000,,,,
6/22/2017,667.98999,668.359985,663.26001,663.280029,663.280029,700700,,6/22/2017,6239.149902,6257.680176,6221.959961,6236.689941,6236.689941,2170250000,,,,
6/23/2017,665.190002,669.049988,665.02002,668.929993,668.929993,560300,,6/23/2017,6234.350098,6269.370117,6218.779785,6265.25,6265.25,4158700000,,,,
6/26/2017,670.590027,670.780029,667.710022,668.359985,668.359985,586200,,6/26/2017,6292.72998,6303.450195,6233.430176,6247.149902,6247.149902,2150630000,,,,
6/27/2017,671.700012,673.130005,670.869995,672.630005,672.630005,639700,,6/27/2017,6227.899902,6234.319824,6146.620117,6146.620117,6146.620117,2181830000,,,,
6/28/2017,671.26001,672.359985,665.890015,665.890015,665.890015,601800,,6/28/2017,6173.100098,6238.290039,6144.799805,6234.410156,6234.410156,2069400000,,,,
6/29/2017,670.099976,670.559998,666,668,668,515400,,6/29/2017,6215.490234,6216.600098,6087.810059,6144.350098,6144.350098,2402250000,,,,
6/30/2017,665.669983,669.119995,665.570007,669.039978,669.039978,511600,,6/30/2017,6166.839844,6170.629883,6129.040039,6140.419922,6140.419922,1998330000,,,,
7/3/2017,671.169983,671.169983,660.039978,660.969971,660.969971,560800,,7/3/2017,6173.290039,6177.359863,6106.120117,6110.060059,6110.060059,1099560000,,,,
7/5/2017,657.700012,661.580017,657.690002,661.539978,661.539978,565100,,7/5/2017,6122.060059,6163.620117,6100.419922,6150.859863,6150.859863,1872130000,,,,
7/6/2017,663.789978,665.049988,662.669983,663.789978,663.789978,555500,,7/6/2017,6109.600098,6127.97998,6081.959961,6089.459961,6089.459961,1990590000,,,,
7/7/2017,662.659973,664.289978,660.98999,663.77002,663.77002,551500,,7/7/2017,6111.209961,6164.939941,6111.209961,6153.080078,6153.080078,1700630000,,,,
7/10/2017,666.190002,666.190002,657.669983,657.859985,657.859985,512900,,7/10/2017,6156.029785,6191.27002,6141.830078,6176.390137,6176.390137,1675470000,,,,
7/11/2017,659.27002,659.909973,654.5,656.01001,656.01001,542000,,7/11/2017,6171.25,6200.580078,6149.870117,6193.299805,6193.299805,1808110000,,,,
7/12/2017,657.059998,657.900024,651.090027,651.099976,651.099976,586100,,7/12/2017,6238.899902,6265.640137,6236.819824,6261.169922,6261.169922,1820550000,,,,
7/13/2017,654.01001,655.159973,651.599976,652.690002,652.690002,490900,,7/13/2017,6269.100098,6281.450195,6251.259766,6274.439941,6274.439941,1803810000,,,,
7/14/2017,654.23999,655.450012,651.27002,654.109985,654.109985,533500,,7/14/2017,6289.080078,6321.759766,6278.700195,6312.470215,6312.470215,1608120000,,,,
7/17/2017,656.969971,659.890015,656.969971,659.890015,659.890015,415400,,7/17/2017,6320.350098,6330.970215,6307.339844,6314.430176,6314.430176,1558030000,,,,
7/18/2017,661.159973,664.039978,661.159973,664.02002,664.02002,570300,,7/18/2017,6304.819824,6344.549805,6291.069824,6344.310059,6344.310059,1762400000,,,,
