Date,Open,High,Low,Close,Adj Close,Volume
5/8/2017,638.359985,643.390015,638.090027,643.390015,643.390015,550900
5/10/2017,645.700012,645.700012,641.539978,642.679993,642.679993,768700
5/11/2017,644.440002,647.580017,643.349976,647.580017,647.580017,731400
5/12/2017,648.559998,648.559998,642.960022,643.72998,643.72998,762400
5/15/2017,644.590027,646.309998,642.789978,645.380005,645.380005,699800
5/16/2017,646.5,646.5,638.429993,639.109985,639.109985,723800
5/17/2017,640.869995,641.47998,638.929993,640.01001,640.01001,624400
5/18/2017,633.400024,638.159973,633.140015,638.119995,638.119995,785400
5/19/2017,640.330017,643.059998,639.169983,642.450012,642.450012,726600
5/22/2017,645.039978,645.159973,641.599976,642.619995,642.619995,753200
5/23/2017,644.590027,645.440002,644,644.72998,644.72998,800700
5/24/2017,646.440002,648.049988,645.030029,646.039978,646.039978,844300
5/25/2017,648.25,648.289978,642.869995,643.02002,643.02002,766900
5/26/2017,644.969971,646.450012,644.299988,646.01001,646.01001,656900
5/29/2017,648.150024,648.219971,642.75,642.97998,642.97998,626600
5/30/2017,645.090027,649.090027,644.340027,649.059998,649.059998,599200
5/31/2017,650.51001,652.52002,649.51001,652.039978,652.039978,664000
6/1/2017,653.570007,654.22998,651.099976,653.830017,653.830017,670500
6/2/2017,656.429993,658.820007,655.820007,658.780029,658.780029,638000
6/5/2017,660.77002,662.369995,659.76001,662.320007,662.320007,583300
6/7/2017,664.070007,666.580017,661.099976,666.460022,666.460022,790900
6/8/2017,668.25,670.049988,667,669.969971,669.969971,672800
6/9/2017,672.140015,674.150024,671.200012,674.150024,674.150024,623300
6/12/2017,672.090027,672.119995,664.119995,664.859985,664.859985,579500
6/13/2017,666.070007,669.26001,666.070007,669.22998,669.22998,626900
6/14/2017,673.02002,674.359985,670.26001,671.590027,671.590027,645500
6/15/2017,672.969971,673.099976,664.98999,669.820007,669.820007,672700
6/16/2017,670.77002,670.820007,667.72998,670.700012,670.700012,608300
6/19/2017,672.719971,675.710022,672.25,675.440002,675.440002,580100
6/20/2017,678.719971,678.820007,669.409973,669.409973,669.409973,734000
6/21/2017,668.409973,668.440002,662.679993,665.77002,665.77002,616000
6/22/2017,667.98999,668.359985,663.26001,663.280029,663.280029,700700
6/23/2017,665.190002,669.049988,665.02002,668.929993,668.929993,560300
6/26/2017,670.590027,670.780029,667.710022,668.359985,668.359985,586200
6/27/2017,671.700012,673.130005,670.869995,672.630005,672.630005,639700
6/28/2017,671.26001,672.359985,665.890015,665.890015,665.890015,601800
6/29/2017,670.099976,670.559998,666,668,668,515400
6/30/2017,665.669983,669.119995,665.570007,669.039978,669.039978,511600
7/3/2017,671.169983,671.169983,660.039978,660.969971,660.969971,560800
7/4/2017,662.169983,663.849976,654.059998,656.190002,656.190002,735100
7/5/2017,657.700012,661.580017,657.690002,661.539978,661.539978,565100
7/6/2017,663.789978,665.049988,662.669983,663.789978,663.789978,555500
7/7/2017,662.659973,664.289978,660.98999,663.77002,663.77002,551500
7/10/2017,666.190002,666.190002,657.669983,657.859985,657.859985,512900
7/11/2017,659.27002,659.909973,654.5,656.01001,656.01001,542000
7/12/2017,657.059998,657.900024,651.090027,651.099976,651.099976,586100
7/13/2017,654.01001,655.159973,651.599976,652.690002,652.690002,490900
7/14/2017,654.23999,655.450012,651.27002,654.109985,654.109985,533500
7/17/2017,656.969971,659.890015,656.969971,659.890015,659.890015,415400
7/18/2017,661.159973,664.039978,661.159973,664.02002,664.02002,570300
7/19/2017,666.299988,671.530029,666.299988,671.530029,671.530029,500900
7/20/2017,674.059998,677.590027,672.369995,676.51001,676.51001,569900
7/21/2017,677.840027,678.150024,674.599976,676.599976,676.599976,523700
7/24/2017,678.590027,679.460022,676.630005,677.320007,677.320007,529200
7/25/2017,678.700012,679.47998,670.099976,670.469971,670.469971,677800
7/26/2017,672.429993,672.630005,664.130005,667.219971,667.219971,593900
7/27/2017,669.219971,670.599976,664.530029,666.47998,666.47998,527900
7/28/2017,665.080017,665.080017,651.840027,652.950012,652.950012,559700
7/31/2017,648.840027,651.830017,643.77002,650.469971,650.469971,504700
8/1/2017,650.890015,655.070007,649.700012,653.119995,653.119995,487800
8/2/2017,654.849976,658.280029,654.830017,657.52002,657.52002,494700
8/3/2017,658.700012,658.940002,641.630005,643.090027,643.090027,528200
8/4/2017,644.799988,648.340027,638.869995,641.580017,641.580017,459100
8/7/2017,643.359985,650.01001,642.820007,648.390015,648.390015,455700
8/8/2017,650.780029,651.909973,645.72998,651.669983,651.669983,607600
8/9/2017,649.390015,650.090027,642.869995,642.869995,642.869995,849000
