Date,NASDAQ,KOSDAQ,Adj Impressions,BTC
11/7/2017,6767.8,0.65206,24,7458.8
11/8/2017,6789.1,0.65947,22.66666667,7146.8
11/9/2017,6750,0.66024,26.66666667,6570.3
11/10/2017,6750.9,0.67033,29.33333333,6517.7
11/13/2017,6757.6,0.68948,22.66666667,6598.8
11/14/2017,6737.9,0.70351,22.66666667,7279
11/15/2017,6706.2,0.71427,24,7843.9
11/16/2017,6793.3,0.7256,26.66666667,7689.9
11/17/2017,6782.8,0.72154,25.33333333,8238.2
11/20/2017,6790.7,0.73035,26.66666667,8095.6
11/21/2017,6862.5,0.73412,24,8230.7
11/22/2017,6867.4,0.72624,21.33333333,8201.5
11/24/2017,6889.2,0.73725,45.33333333,9739
11/27/2017,6878.5,0.7373,50.66666667,9908.2
11/28/2017,6912.4,0.719,85.33333333,9816.4
11/29/2017,6824.4,0.727,69.33333333,9916.5
11/30/2017,6874,0.71742,50.66666667,10860
12/1/2017,6847.6,0.73256,46.66666667,11617
12/4/2017,6775.4,0.72768,46.66666667,11696
12/5/2017,6762.2,0.71993,65.33333333,13709
12/6/2017,6776.4,0.7146,132,16858
12/7/2017,6812.8,0.70072,117.3333333,16057
12/8/2017,6840.1,0.69198,84,16700
12/11/2017,6875.1,0.7106,80,17178
12/12/2017,6862.3,0.70717,72,16407
12/13/2017,6875.8,0.71816,62.66666667,16531
12/14/2017,6856.5,0.71643,57.33333333,17602
12/15/2017,6936.6,0.71779,64,18961
12/18/2017,6994.8,0.71657,70.66666667,17608
12/19/2017,6963.9,0.71255,92,16455
12/21/2017,6965.4,0.6885,72,15561
12/22/2017,6960,0.70792,133.3333333,13857
12/26/2017,6936.3,0.70886,54.66666667,15745
12/27/2017,6939.3,0.73651,50.66666667,15378
12/28/2017,6950.2,0.74253,50.66666667,14429
1/2/2018,7006.9,0.75558,42.66666667,14741
1/3/2018,7065.5,0.76475,42.66666667,15135
1/4/2018,7077.9,0.75145,41.33333333,15155
1/5/2018,7136.6,0.77007,40,16937
1/8/2018,7157.4,0.78074,38.66666667,14970
1/9/2018,7163.6,0.77189,38.66666667,14439
1/10/2018,7153.6,0.77647,40,14891
1/11/2018,7211.8,0.79283,44,13287
1/12/2018,7261.1,0.81194,36,13813
1/16/2018,7223.7,0.83814,60,11348
1/17/2018,7298.3,0.82452,77.33333333,11141
